timestep,value,energy,concentration,equation
135,212.0,3.50kT,40µM,ED
136,229.0,3.50kT,40µM,ED
138,228.0,3.50kT,40µM,ED
140,234.0,3.50kT,40µM,ED
141,218.0,3.50kT,40µM,ED
144,199.0,3.50kT,40µM,ED
145,220.0,3.50kT,40µM,ED
146,197.0,3.50kT,40µM,ED
149,204.0,3.50kT,40µM,ED
150,185.0,3.50kT,40µM,ED
151,191.0,3.50kT,40µM,ED
152,187.0,3.50kT,40µM,ED
154,170.0,3.50kT,40µM,ED
155,174.0,3.50kT,40µM,ED
157,172.0,3.50kT,40µM,ED
158,155.0,3.50kT,40µM,ED
159,146.0,3.50kT,40µM,ED
160,140.0,3.50kT,40µM,ED
161,183.0,3.50kT,40µM,ED
162,162.0,3.50kT,40µM,ED
163,149.0,3.50kT,40µM,ED
164,171.0,3.50kT,40µM,ED
165,169.0,3.50kT,40µM,ED
166,181.0,3.50kT,40µM,ED
167,129.0,3.50kT,40µM,ED
168,160.0,3.50kT,40µM,ED
170,164.0,3.50kT,40µM,ED
171,163.0,3.50kT,40µM,ED
173,145.0,3.50kT,40µM,ED
174,165.0,3.50kT,40µM,ED
175,141.0,3.50kT,40µM,ED
177,147.0,3.50kT,40µM,ED
178,127.0,3.50kT,40µM,ED
179,133.0,3.50kT,40µM,ED
180,134.0,3.50kT,40µM,ED
184,119.0,3.50kT,40µM,ED
185,118.0,3.50kT,40µM,ED
189,135.0,3.50kT,40µM,ED
190,112.0,3.50kT,40µM,ED
191,132.0,3.50kT,40µM,ED
193,138.0,3.50kT,40µM,ED
194,117.0,3.50kT,40µM,ED
198,109.0,3.50kT,40µM,ED
200,108.0,3.50kT,40µM,ED
203,128.0,3.50kT,40µM,ED
206,105.0,3.50kT,40µM,ED
207,104.0,3.50kT,40µM,ED
208,111.0,3.50kT,40µM,ED
209,90.0,3.50kT,40µM,ED
213,88.0,3.50kT,40µM,ED
214,103.0,3.50kT,40µM,ED
215,87.0,3.50kT,40µM,ED
216,101.0,3.50kT,40µM,ED
218,100.0,3.50kT,40µM,ED
221,94.0,3.50kT,40µM,ED
224,85.0,3.50kT,40µM,ED
225,93.0,3.50kT,40µM,ED
227,91.0,3.50kT,40µM,ED
231,98.0,3.50kT,40µM,ED
232,79.0,3.50kT,40µM,ED
236,92.0,3.50kT,40µM,ED
238,82.0,3.50kT,40µM,ED
243,86.0,3.50kT,40µM,ED
245,76.0,3.50kT,40µM,ED
246,69.0,3.50kT,40µM,ED
248,71.0,3.50kT,40µM,ED
264,57.0,3.50kT,40µM,ED
266,72.0,3.50kT,40µM,ED
270,65.0,3.50kT,40µM,ED
279,68.0,3.50kT,40µM,ED
280,70.0,3.50kT,40µM,ED
281,63.0,3.50kT,40µM,ED
292,59.0,3.50kT,40µM,ED
293,58.0,3.50kT,40µM,ED
294,60.0,3.50kT,40µM,ED
303,50.0,3.50kT,40µM,ED
307,56.0,3.50kT,40µM,ED
315,53.0,3.50kT,40µM,ED
321,49.0,3.50kT,40µM,ED
323,45.0,3.50kT,40µM,ED
328,48.0,3.50kT,40µM,ED
329,46.0,3.50kT,40µM,ED
332,51.0,3.50kT,40µM,ED
340,43.0,3.50kT,40µM,ED
344,52.0,3.50kT,40µM,ED
346,44.0,3.50kT,40µM,ED
349,41.0,3.50kT,40µM,ED
351,33.0,3.50kT,40µM,ED
369,39.0,3.50kT,40µM,ED
373,40.0,3.50kT,40µM,ED
375,36.0,3.50kT,40µM,ED
376,37.0,3.50kT,40µM,ED
382,42.0,3.50kT,40µM,ED
390,32.0,3.50kT,40µM,ED
392,35.0,3.50kT,40µM,ED
395,31.0,3.50kT,40µM,ED
405,29.0,3.50kT,40µM,ED
407,26.0,3.50kT,40µM,ED
418,28.0,3.50kT,40µM,ED
428,27.0,3.50kT,40µM,ED
429,30.0,3.50kT,40µM,ED
441,25.0,3.50kT,40µM,ED
460,24.0,3.50kT,40µM,ED
476,23.0,3.50kT,40µM,ED
495,21.0,3.50kT,40µM,ED
497,22.0,3.50kT,40µM,ED
531,20.0,3.50kT,40µM,ED
540,19.0,3.50kT,40µM,ED
559,16.0,3.50kT,40µM,ED
587,14.0,3.50kT,40µM,ED
598,17.0,3.50kT,40µM,ED
609,15.0,3.50kT,40µM,ED
631,13.0,3.50kT,40µM,ED
695,11.0,3.50kT,40µM,ED
698,10.0,3.50kT,40µM,ED
739,9.0,3.50kT,40µM,ED
779,8.0,3.50kT,40µM,ED
827,7.0,3.50kT,40µM,ED
858,6.0,3.50kT,40µM,ED
1042,4.0,3.50kT,40µM,ED
1148,3.0,3.50kT,40µM,ED
1369,2.0,3.50kT,40µM,ED
1698,1.0,3.50kT,40µM,ED
1,30790.0,3.50kT,60µM,ED
2,26646.0,3.50kT,60µM,ED
3,23355.0,3.50kT,60µM,ED
4,20766.0,3.50kT,60µM,ED
5,18623.0,3.50kT,60µM,ED
6,16785.0,3.50kT,60µM,ED
7,15170.0,3.50kT,60µM,ED
8,13677.0,3.50kT,60µM,ED
9,12697.0,3.50kT,60µM,ED
10,11818.0,3.50kT,60µM,ED
11,11000.0,3.50kT,60µM,ED
12,10126.0,3.50kT,60µM,ED
13,9534.0,3.50kT,60µM,ED
14,8787.0,3.50kT,60µM,ED
15,8243.0,3.50kT,60µM,ED
16,7864.0,3.50kT,60µM,ED
17,7372.0,3.50kT,60µM,ED
18,6970.0,3.50kT,60µM,ED
19,6535.0,3.50kT,60µM,ED
20,6218.0,3.50kT,60µM,ED
21,5761.0,3.50kT,60µM,ED
22,5543.0,3.50kT,60µM,ED
23,5375.0,3.50kT,60µM,ED
24,5092.0,3.50kT,60µM,ED
25,4787.0,3.50kT,60µM,ED
26,4648.0,3.50kT,60µM,ED
27,4469.0,3.50kT,60µM,ED
28,4223.0,3.50kT,60µM,ED
30,4112.0,3.50kT,60µM,ED
31,3887.0,3.50kT,60µM,ED
32,3771.0,3.50kT,60µM,ED
33,3561.0,3.50kT,60µM,ED
34,3452.0,3.50kT,60µM,ED
35,3245.0,3.50kT,60µM,ED
36,3101.0,3.50kT,60µM,ED
37,3228.0,3.50kT,60µM,ED
38,3017.0,3.50kT,60µM,ED
39,2891.0,3.50kT,60µM,ED
40,2747.0,3.50kT,60µM,ED
41,2739.0,3.50kT,60µM,ED
42,2615.0,3.50kT,60µM,ED
43,2509.0,3.50kT,60µM,ED
44,2472.0,3.50kT,60µM,ED
45,2329.0,3.50kT,60µM,ED
46,2325.0,3.50kT,60µM,ED
47,2250.0,3.50kT,60µM,ED
48,2149.0,3.50kT,60µM,ED
49,2207.0,3.50kT,60µM,ED
50,2125.0,3.50kT,60µM,ED
51,1983.0,3.50kT,60µM,ED
52,1991.0,3.50kT,60µM,ED
53,1901.0,3.50kT,60µM,ED
54,1893.0,3.50kT,60µM,ED
55,1852.0,3.50kT,60µM,ED
56,1765.0,3.50kT,60µM,ED
57,1709.0,3.50kT,60µM,ED
58,1680.0,3.50kT,60µM,ED
59,1696.0,3.50kT,60µM,ED
60,1580.0,3.50kT,60µM,ED
61,1536.0,3.50kT,60µM,ED
62,1474.0,3.50kT,60µM,ED
63,1483.0,3.50kT,60µM,ED
64,1433.0,3.50kT,60µM,ED
65,1366.0,3.50kT,60µM,ED
66,1344.0,3.50kT,60µM,ED
67,1335.0,3.50kT,60µM,ED
68,1318.0,3.50kT,60µM,ED
69,1300.0,3.50kT,60µM,ED
70,1246.0,3.50kT,60µM,ED
71,1229.0,3.50kT,60µM,ED
72,1220.0,3.50kT,60µM,ED
73,1145.0,3.50kT,60µM,ED
74,1187.0,3.50kT,60µM,ED
75,1149.0,3.50kT,60µM,ED
76,1084.0,3.50kT,60µM,ED
77,1095.0,3.50kT,60µM,ED
78,1053.0,3.50kT,60µM,ED
79,1033.0,3.50kT,60µM,ED
80,1021.0,3.50kT,60µM,ED
82,947.0,3.50kT,60µM,ED
83,962.0,3.50kT,60µM,ED
84,932.0,3.50kT,60µM,ED
85,866.0,3.50kT,60µM,ED
86,911.0,3.50kT,60µM,ED
87,855.0,3.50kT,60µM,ED
88,802.0,3.50kT,60µM,ED
89,801.0,3.50kT,60µM,ED
90,787.0,3.50kT,60µM,ED
91,793.0,3.50kT,60µM,ED
92,730.0,3.50kT,60µM,ED
93,777.0,3.50kT,60µM,ED
94,743.0,3.50kT,60µM,ED
95,700.0,3.50kT,60µM,ED
96,739.0,3.50kT,60µM,ED
97,708.0,3.50kT,60µM,ED
98,744.0,3.50kT,60µM,ED
99,655.0,3.50kT,60µM,ED
100,685.0,3.50kT,60µM,ED
101,695.0,3.50kT,60µM,ED
102,669.0,3.50kT,60µM,ED
103,644.0,3.50kT,60µM,ED
104,645.0,3.50kT,60µM,ED
105,629.0,3.50kT,60µM,ED
106,625.0,3.50kT,60µM,ED
107,605.0,3.50kT,60µM,ED
108,583.0,3.50kT,60µM,ED
109,560.0,3.50kT,60µM,ED
110,524.0,3.50kT,60µM,ED
111,579.0,3.50kT,60µM,ED
112,536.0,3.50kT,60µM,ED
113,574.0,3.50kT,60µM,ED
114,537.0,3.50kT,60µM,ED
115,540.0,3.50kT,60µM,ED
116,508.0,3.50kT,60µM,ED
117,500.0,3.50kT,60µM,ED
118,482.0,3.50kT,60µM,ED
119,501.0,3.50kT,60µM,ED
120,510.0,3.50kT,60µM,ED
121,453.0,3.50kT,60µM,ED
122,498.0,3.50kT,60µM,ED
124,475.0,3.50kT,60µM,ED
125,469.0,3.50kT,60µM,ED
126,434.0,3.50kT,60µM,ED
128,427.0,3.50kT,60µM,ED
129,385.0,3.50kT,60µM,ED
130,412.0,3.50kT,60µM,ED
131,408.0,3.50kT,60µM,ED
132,415.0,3.50kT,60µM,ED
133,377.0,3.50kT,60µM,ED
134,411.0,3.50kT,60µM,ED
135,369.0,3.50kT,60µM,ED
136,381.0,3.50kT,60µM,ED
137,379.0,3.50kT,60µM,ED
138,342.0,3.50kT,60µM,ED
140,380.0,3.50kT,60µM,ED
141,349.0,3.50kT,60µM,ED
142,361.0,3.50kT,60µM,ED
143,348.0,3.50kT,60µM,ED
144,370.0,3.50kT,60µM,ED
145,337.0,3.50kT,60µM,ED
146,346.0,3.50kT,60µM,ED
147,315.0,3.50kT,60µM,ED
149,323.0,3.50kT,60µM,ED
150,303.0,3.50kT,60µM,ED
151,314.0,3.50kT,60µM,ED
152,340.0,3.50kT,60µM,ED
153,294.0,3.50kT,60µM,ED
154,317.0,3.50kT,60µM,ED
155,290.0,3.50kT,60µM,ED
156,296.0,3.50kT,60µM,ED
158,322.0,3.50kT,60µM,ED
159,307.0,3.50kT,60µM,ED
160,297.0,3.50kT,60µM,ED
161,293.0,3.50kT,60µM,ED
163,304.0,3.50kT,60µM,ED
164,272.0,3.50kT,60µM,ED
165,279.0,3.50kT,60µM,ED
166,263.0,3.50kT,60µM,ED
167,274.0,3.50kT,60µM,ED
168,260.0,3.50kT,60µM,ED
169,255.0,3.50kT,60µM,ED
170,250.0,3.50kT,60µM,ED
171,258.0,3.50kT,60µM,ED
172,241.0,3.50kT,60µM,ED
173,242.0,3.50kT,60µM,ED
174,233.0,3.50kT,60µM,ED
176,256.0,3.50kT,60µM,ED
177,236.0,3.50kT,60µM,ED
180,235.0,3.50kT,60µM,ED
183,201.0,3.50kT,60µM,ED
184,230.0,3.50kT,60µM,ED
185,212.0,3.50kT,60µM,ED
188,208.0,3.50kT,60µM,ED
191,196.0,3.50kT,60µM,ED
192,193.0,3.50kT,60µM,ED
194,181.0,3.50kT,60µM,ED
195,189.0,3.50kT,60µM,ED
197,188.0,3.50kT,60µM,ED
198,191.0,3.50kT,60µM,ED
199,194.0,3.50kT,60µM,ED
200,182.0,3.50kT,60µM,ED
203,187.0,3.50kT,60µM,ED
204,198.0,3.50kT,60µM,ED
205,184.0,3.50kT,60µM,ED
208,179.0,3.50kT,60µM,ED
210,171.0,3.50kT,60µM,ED
211,164.0,3.50kT,60µM,ED
215,152.0,3.50kT,60µM,ED
220,159.0,3.50kT,60µM,ED
221,149.0,3.50kT,60µM,ED
225,155.0,3.50kT,60µM,ED
227,146.0,3.50kT,60µM,ED
230,142.0,3.50kT,60µM,ED
231,134.0,3.50kT,60µM,ED
232,153.0,3.50kT,60µM,ED
233,150.0,3.50kT,60µM,ED
240,147.0,3.50kT,60µM,ED
243,136.0,3.50kT,60µM,ED
247,117.0,3.50kT,60µM,ED
252,110.0,3.50kT,60µM,ED
254,120.0,3.50kT,60µM,ED
255,128.0,3.50kT,60µM,ED
257,105.0,3.50kT,60µM,ED
259,119.0,3.50kT,60µM,ED
264,106.0,3.50kT,60µM,ED
267,118.0,3.50kT,60µM,ED
269,87.0,3.50kT,60µM,ED
270,107.0,3.50kT,60µM,ED
272,115.0,3.50kT,60µM,ED
278,109.0,3.50kT,60µM,ED
282,95.0,3.50kT,60µM,ED
285,90.0,3.50kT,60µM,ED
287,94.0,3.50kT,60µM,ED
288,79.0,3.50kT,60µM,ED
290,99.0,3.50kT,60µM,ED
293,92.0,3.50kT,60µM,ED
294,89.0,3.50kT,60µM,ED
296,93.0,3.50kT,60µM,ED
297,101.0,3.50kT,60µM,ED
299,97.0,3.50kT,60µM,ED
300,100.0,3.50kT,60µM,ED
302,96.0,3.50kT,60µM,ED
305,77.0,3.50kT,60µM,ED
307,86.0,3.50kT,60µM,ED
309,84.0,3.50kT,60µM,ED
314,81.0,3.50kT,60µM,ED
321,85.0,3.50kT,60µM,ED
325,88.0,3.50kT,60µM,ED
332,67.0,3.50kT,60µM,ED
338,76.0,3.50kT,60µM,ED
340,72.0,3.50kT,60µM,ED
345,63.0,3.50kT,60µM,ED
357,66.0,3.50kT,60µM,ED
360,58.0,3.50kT,60µM,ED
362,62.0,3.50kT,60µM,ED
367,64.0,3.50kT,60µM,ED
370,65.0,3.50kT,60µM,ED
376,74.0,3.50kT,60µM,ED
379,56.0,3.50kT,60µM,ED
380,41.0,3.50kT,60µM,ED
389,53.0,3.50kT,60µM,ED
392,48.0,3.50kT,60µM,ED
396,49.0,3.50kT,60µM,ED
398,55.0,3.50kT,60µM,ED
404,50.0,3.50kT,60µM,ED
407,54.0,3.50kT,60µM,ED
411,51.0,3.50kT,60µM,ED
415,44.0,3.50kT,60µM,ED
425,42.0,3.50kT,60µM,ED
429,47.0,3.50kT,60µM,ED
432,46.0,3.50kT,60µM,ED
437,45.0,3.50kT,60µM,ED
450,37.0,3.50kT,60µM,ED
452,43.0,3.50kT,60µM,ED
461,40.0,3.50kT,60µM,ED
468,36.0,3.50kT,60µM,ED
492,33.0,3.50kT,60µM,ED
501,34.0,3.50kT,60µM,ED
539,26.0,3.50kT,60µM,ED
540,30.0,3.50kT,60µM,ED
557,27.0,3.50kT,60µM,ED
562,24.0,3.50kT,60µM,ED
568,28.0,3.50kT,60µM,ED
588,23.0,3.50kT,60µM,ED
599,21.0,3.50kT,60µM,ED
601,20.0,3.50kT,60µM,ED
632,19.0,3.50kT,60µM,ED
685,17.0,3.50kT,60µM,ED
686,15.0,3.50kT,60µM,ED
692,16.0,3.50kT,60µM,ED
727,14.0,3.50kT,60µM,ED
769,11.0,3.50kT,60µM,ED
771,12.0,3.50kT,60µM,ED
849,10.0,3.50kT,60µM,ED
856,9.0,3.50kT,60µM,ED
928,7.0,3.50kT,60µM,ED
933,8.0,3.50kT,60µM,ED
996,6.0,3.50kT,60µM,ED
1061,5.0,3.50kT,60µM,ED
1124,4.0,3.50kT,60µM,ED
1379,2.0,3.50kT,60µM,ED
1772,1.0,3.50kT,60µM,ED
1,2821.0,4.00kT,10µM,ED
2,2610.0,4.00kT,10µM,ED
3,2309.0,4.00kT,10µM,ED
4,2191.0,4.00kT,10µM,ED
5,2015.0,4.00kT,10µM,ED
6,1890.0,4.00kT,10µM,ED
7,1804.0,4.00kT,10µM,ED
8,1582.0,4.00kT,10µM,ED
9,1595.0,4.00kT,10µM,ED
10,1376.0,4.00kT,10µM,ED
11,1362.0,4.00kT,10µM,ED
12,1253.0,4.00kT,10µM,ED
13,1208.0,4.00kT,10µM,ED
14,1180.0,4.00kT,10µM,ED
15,1083.0,4.00kT,10µM,ED
16,1042.0,4.00kT,10µM,ED
17,930.0,4.00kT,10µM,ED
18,945.0,4.00kT,10µM,ED
19,829.0,4.00kT,10µM,ED
20,815.0,4.00kT,10µM,ED
21,780.0,4.00kT,10µM,ED
22,759.0,4.00kT,10µM,ED
23,717.0,4.00kT,10µM,ED
24,716.0,4.00kT,10µM,ED
25,692.0,4.00kT,10µM,ED
26,636.0,4.00kT,10µM,ED
27,588.0,4.00kT,10µM,ED
28,565.0,4.00kT,10µM,ED
30,530.0,4.00kT,10µM,ED
31,511.0,4.00kT,10µM,ED
32,524.0,4.00kT,10µM,ED
33,429.0,4.00kT,10µM,ED
34,486.0,4.00kT,10µM,ED
35,440.0,4.00kT,10µM,ED
36,432.0,4.00kT,10µM,ED
37,389.0,4.00kT,10µM,ED
38,390.0,4.00kT,10µM,ED
40,350.0,4.00kT,10µM,ED
42,303.0,4.00kT,10µM,ED
43,293.0,4.00kT,10µM,ED
44,295.0,4.00kT,10µM,ED
45,304.0,4.00kT,10µM,ED
46,292.0,4.00kT,10µM,ED
47,287.0,4.00kT,10µM,ED
48,280.0,4.00kT,10µM,ED
49,283.0,4.00kT,10µM,ED
50,253.0,4.00kT,10µM,ED
51,257.0,4.00kT,10µM,ED
52,210.0,4.00kT,10µM,ED
53,221.0,4.00kT,10µM,ED
54,231.0,4.00kT,10µM,ED
55,193.0,4.00kT,10µM,ED
56,222.0,4.00kT,10µM,ED
57,217.0,4.00kT,10µM,ED
59,206.0,4.00kT,10µM,ED
60,177.0,4.00kT,10µM,ED
62,183.0,4.00kT,10µM,ED
63,179.0,4.00kT,10µM,ED
64,182.0,4.00kT,10µM,ED
65,166.0,4.00kT,10µM,ED
66,150.0,4.00kT,10µM,ED
67,149.0,4.00kT,10µM,ED
68,157.0,4.00kT,10µM,ED
69,151.0,4.00kT,10µM,ED
70,156.0,4.00kT,10µM,ED
71,154.0,4.00kT,10µM,ED
73,146.0,4.00kT,10µM,ED
74,135.0,4.00kT,10µM,ED
75,117.0,4.00kT,10µM,ED
76,118.0,4.00kT,10µM,ED
77,124.0,4.00kT,10µM,ED
78,125.0,4.00kT,10µM,ED
80,126.0,4.00kT,10µM,ED
81,113.0,4.00kT,10µM,ED
82,109.0,4.00kT,10µM,ED
84,107.0,4.00kT,10µM,ED
85,112.0,4.00kT,10µM,ED
89,101.0,4.00kT,10µM,ED
90,105.0,4.00kT,10µM,ED
91,102.0,4.00kT,10µM,ED
95,93.0,4.00kT,10µM,ED
96,88.0,4.00kT,10µM,ED
98,83.0,4.00kT,10µM,ED
104,90.0,4.00kT,10µM,ED
105,79.0,4.00kT,10µM,ED
106,96.0,4.00kT,10µM,ED
107,77.0,4.00kT,10µM,ED
109,71.0,4.00kT,10µM,ED
110,81.0,4.00kT,10µM,ED
112,74.0,4.00kT,10µM,ED
113,80.0,4.00kT,10µM,ED
118,70.0,4.00kT,10µM,ED
120,66.0,4.00kT,10µM,ED
121,67.0,4.00kT,10µM,ED
124,63.0,4.00kT,10µM,ED
125,73.0,4.00kT,10µM,ED
128,61.0,4.00kT,10µM,ED
130,64.0,4.00kT,10µM,ED
132,53.0,4.00kT,10µM,ED
134,51.0,4.00kT,10µM,ED
141,52.0,4.00kT,10µM,ED
145,49.0,4.00kT,10µM,ED
147,54.0,4.00kT,10µM,ED
153,47.0,4.00kT,10µM,ED
157,45.0,4.00kT,10µM,ED
158,50.0,4.00kT,10µM,ED
159,44.0,4.00kT,10µM,ED
163,36.0,4.00kT,10µM,ED
170,39.0,4.00kT,10µM,ED
179,46.0,4.00kT,10µM,ED
180,37.0,4.00kT,10µM,ED
186,35.0,4.00kT,10µM,ED
191,32.0,4.00kT,10µM,ED
194,34.0,4.00kT,10µM,ED
196,33.0,4.00kT,10µM,ED
197,38.0,4.00kT,10µM,ED
208,26.0,4.00kT,10µM,ED
211,29.0,4.00kT,10µM,ED
212,21.0,4.00kT,10µM,ED
215,30.0,4.00kT,10µM,ED
234,25.0,4.00kT,10µM,ED
235,23.0,4.00kT,10µM,ED
239,22.0,4.00kT,10µM,ED
250,17.0,4.00kT,10µM,ED
257,20.0,4.00kT,10µM,ED
267,14.0,4.00kT,10µM,ED
270,18.0,4.00kT,10µM,ED
280,19.0,4.00kT,10µM,ED
284,15.0,4.00kT,10µM,ED
308,16.0,4.00kT,10µM,ED
311,12.0,4.00kT,10µM,ED
336,13.0,4.00kT,10µM,ED
361,11.0,4.00kT,10µM,ED
363,10.0,4.00kT,10µM,ED
380,9.0,4.00kT,10µM,ED
487,7.0,4.00kT,10µM,ED
488,6.0,4.00kT,10µM,ED
554,5.0,4.00kT,10µM,ED
624,4.0,4.00kT,10µM,ED
759,3.0,4.00kT,10µM,ED
929,2.0,4.00kT,10µM,ED
1385,1.0,4.00kT,10µM,ED
1,3106.0,4.00kT,20µM,ED
2,2672.0,4.00kT,20µM,ED
3,2486.0,4.00kT,20µM,ED
4,2231.0,4.00kT,20µM,ED
5,2135.0,4.00kT,20µM,ED
6,2046.0,4.00kT,20µM,ED
7,1890.0,4.00kT,20µM,ED
8,1788.0,4.00kT,20µM,ED
9,1749.0,4.00kT,20µM,ED
10,1523.0,4.00kT,20µM,ED
11,1462.0,4.00kT,20µM,ED
12,1376.0,4.00kT,20µM,ED
13,1308.0,4.00kT,20µM,ED
14,1278.0,4.00kT,20µM,ED
15,1179.0,4.00kT,20µM,ED
16,1138.0,4.00kT,20µM,ED
17,1084.0,4.00kT,20µM,ED
18,1011.0,4.00kT,20µM,ED
19,967.0,4.00kT,20µM,ED
20,934.0,4.00kT,20µM,ED
21,896.0,4.00kT,20µM,ED
22,859.0,4.00kT,20µM,ED
23,792.0,4.00kT,20µM,ED
24,744.0,4.00kT,20µM,ED
25,746.0,4.00kT,20µM,ED
26,734.0,4.00kT,20µM,ED
27,701.0,4.00kT,20µM,ED
28,666.0,4.00kT,20µM,ED
29,625.0,4.00kT,20µM,ED
30,594.0,4.00kT,20µM,ED
31,600.0,4.00kT,20µM,ED
32,550.0,4.00kT,20µM,ED
33,578.0,4.00kT,20µM,ED
34,553.0,4.00kT,20µM,ED
35,499.0,4.00kT,20µM,ED
36,503.0,4.00kT,20µM,ED
37,455.0,4.00kT,20µM,ED
